1.25	112102192.18645816
1.75	91169625.07307068
2.25	45932358.91314754
2.75	55237100.839823924
3.25	69382536.98613726
3.75	86451837.72550471
4.25	102237169.58573535
4.75	114968789.27434275
5.25	124216135.22633071
5.75	129777348.29191421
6.25	132482549.90202062
6.75	132827146.92132086
7.25	182426234.7095112
7.75	129381767.47354338
8.25	1067378876.3090489
8.75	130246028.85554938
9.25	115943575.9488581
9.75	728094218.3460523
10.25	100167146.23063032
10.75	80861415.6664696
11.25	137367679.1622077
11.75	79704883.24332793
12.25	64324751.50247668
12.75	60291461.72652948
13.25	58644523.16296973
13.75	56851095.23610141
14.25	54955745.49055115
14.75	52982864.855347574
15.25	50954836.96165215
15.75	48891164.344940364
16.25	46802952.56330235
16.75	44704926.87546658
17.25	42608516.145132974
17.75	40522407.99581081
18.25	38452740.312757336
18.75	36400604.58750683
19.25	34369135.4567597
19.75	32361287.395466108
20.25	30379758.033480152
20.75	28425369.0548072
21.25	26497277.12853109
21.75	24594580.741523277
22.25	22717325.342015173
22.75	20861427.160300136
23.25	19022137.86666011
23.75	17193304.63660851
24.25	15367648.970538741
24.75	13535413.973029992
25.25	11684644.609147461
25.75	9797800.205983454
26.25	7856038.17078328
26.75	5844201.049017539
27.25	3755015.740124712
27.75	1600378.6326946716
