1.25	10740429.231842417
1.75	8740231.33065483
2.25	4387256.462870113
2.75	5284496.558683522
3.25	6673360.915177868
3.75	8388403.030561474
4.25	10042497.230131026
4.75	11426178.986609017
5.25	12440883.356296148
5.75	13142324.995694542
6.25	13551951.641853517
6.75	13710490.986980705
7.25	19338125.158923723
7.75	13567180.590770314
8.25	118844893.28753413
8.75	13895365.455595156
9.25	12370222.229849895
9.75	82343543.35275353
10.25	10681905.227885628
10.75	8533968.194490021
11.25	14968236.865685869
11.75	8499153.890159748
12.25	6806409.92106815
12.75	6396556.287289153
13.25	6258422.037740352
13.75	6102012.479350942
14.25	5932146.53313873
14.75	5751906.60232439
15.25	5563623.128201054
15.75	5369542.032708501
16.25	5171304.254899797
16.75	4970305.3503624
17.25	4767821.171574493
17.75	4565455.400249332
18.25	4363935.200267146
18.75	4163370.5194901996
19.25	3964562.5819029836
19.75	3767715.7929213317
20.25	3573134.325337298
20.75	3381254.510918486
21.25	3191999.9654893274
21.75	3005366.2382053477
22.25	2821515.705603817
22.75	2640339.119746181
23.25	2461628.4013861064
23.75	2285492.638743201
24.25	2111543.5773022715
24.75	1939309.9486531434
25.25	1768592.6969794447
25.75	1598789.280333943
26.25	1428928.6552759921
26.75	1258402.984733726
27.25	1085900.004067138
27.75	909730.0176126122
28.25	728798.8891299388
28.75	541574.6486153137
29.25	347333.0409525368
29.75	146086.30598737733
